央视,#genre#
CCTV1,http://106.46.39.174:808/hls/1/index.m3u8
CCTV2,http://106.46.39.174:808/hls/2/index.m3u8
CCTV3,http://106.46.39.174:808/hls/3/index.m3u8
CCTV4,http://106.46.39.174:808/hls/4/index.m3u8
CCTV5,http://106.46.39.174:808/hls/5/index.m3u8
CCTV6,http://106.46.39.174:808/hls/6/index.m3u8
CCTV7,http://106.46.39.174:808/hls/7/index.m3u8
CCTV8,http://106.46.39.174:808/hls/8/index.m3u8
CCTV9,http://106.46.39.174:808/hls/9/index.m3u8
CCTV10,http://106.46.39.174:808/hls/10/index.m3u8
CCTV11,http://106.46.39.174:808/hls/11/index.m3u8
CCTV12,http://106.46.39.174:808/hls/12/index.m3u8
CCTV13,http://106.46.39.174:808/hls/13/index.m3u8
CCTV14,http://106.46.39.174:808/hls/14/index.m3u8
CCTV15,http://106.46.39.174:808/hls/15/index.m3u8
CCTV17,http://106.46.39.174:808/hls/17/index.m3u8
CCTV5+,http://106.46.39.174:808/hls/18/index.m3u8
CCTV1,http://116.117.105.154:8096/tsfile/live/0001_1.m3u8
CCTV3,http://116.117.105.154:8096/tsfile/live/0003_1.m3u8
CCTV4,http://116.117.105.154:8096/tsfile/live/0004_1.m3u8
CCTV5,http://116.117.105.154:8096/tsfile/live/0005_1.m3u8
CCTV6,http://116.117.105.154:8096/tsfile/live/0006_1.m3u8
CCTV9,http://116.117.105.154:8096/tsfile/live/0009_1.m3u8
CCTV5+,http://123.183.25.111:6666/tsfile/live/0006_1.m3u8
CCTV17,http://123.183.25.111:6666/tsfile/live/0007_1.m3u8
CCTV15,http://123.183.25.111:6666/tsfile/live/faacts/0009_1.m3u8
CCTV13,http://123.183.25.111:6666/tsfile/live/0010_1.m3u8
CCTV11,http://123.183.25.111:6666/tsfile/live/0011_1.m3u8
CCTV9,http://123.183.25.111:6666/tsfile/live/0012_1.m3u8
CCTV2,http://123.183.25.111:6666/tsfile/live/0002_2.m3u8
